Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Last_Update
North Dakota,US,48.22390169,-101.5436763,21,1,0,20,2020-04-27 2:30:52
North Dakota,US,48.20197971,-102.3555315,33,0,0,33,2020-04-27 2:30:52
Washington,US,48.14713305,-122.5216407,160,9,0,151,2020-04-26 0:00:00
Minnesota,US,48.06642577,-96.0370814,1,0,0,1,2020-04-27 2:30:52
Washington,US,48.04754642,-123.9226319,15,0,0,15,2020-04-26 0:00:00
Washington,US,48.04615983,-121.7170703,2311,104,0,2207,2020-04-26 0:00:00
,Kazakhstan,48.0196,66.9237,2717,25,682,2010,2020-04-27 2:30:33
Minnesota,US,47.97373527,-94.93732139,6,0,0,6,2020-04-27 2:30:52
North Dakota,US,47.9226426,-98.19038437,1,0,0,1,2020-04-27 2:30:52
North Dakota,US,47.92093639,-97.45450447,195,0,0,195,2020-04-27 2:30:52
Minnesota,US,47.87197525,-96.09561104,1,0,0,1,2020-04-27 2:30:52
Washington,US,47.87046092,-120.6173956,91,5,0,86,2020-04-26 0:00:00
Heilongjiang,China,47.862,127.7615,936,13,556,367,2020-04-27 0:29:26
Montana,US,47.78668011,-104.5610786,3,0,0,3,2020-04-27 2:30:52
Minnesota,US,47.77372465,-96.40134647,23,0,0,23,2020-04-27 2:30:52
Washington,US,47.75003077,-123.5609704,28,0,0,28,2020-04-26 0:00:00
North Dakota,US,47.7413337,-103.395905,12,0,0,12,2020-04-27 2:30:52
Washington,US,47.7361335,-119.692937,72,1,0,71,2020-04-26 0:00:00
North Dakota,US,47.71701474,-98.90432337,1,0,0,1,2020-04-27 2:30:52
Idaho,US,47.67282258,-116.7020872,61,0,0,61,2020-04-27 2:30:52
Montana,US,47.64514965,-114.0898013,5,0,0,5,2020-04-27 2:30:52
Washington,US,47.63479026,-122.6436061,144,2,0,142,2020-04-26 0:00:00
Washington,US,47.62113146,-117.4046494,347,19,0,328,2020-04-26 0:00:00
North Dakota,US,47.60766714,-101.3182418,3,0,0,3,2020-04-27 2:30:52
Minnesota,US,47.6048407,-92.46879855,61,10,0,51,2020-04-27 2:30:52
North Dakota,US,47.58614526,-99.65904998,2,0,0,2,2020-04-27 2:30:52
Minnesota,US,47.57992111,-95.37790562,2,0,0,2,2020-04-27 2:30:52
Washington,US,47.57705241,-118.4194388,2,0,0,2,2020-04-26 0:00:00
,Austria,47.5162,14.5501,15225,542,12282,2401,2020-04-27 2:30:33
Minnesota,US,47.51009045,-93.63092229,2,0,0,2,2020-04-27 2:30:52
Washington,US,47.49137892,-121.8346131,5863,408,0,5455,2020-04-26 0:00:00
North Dakota,US,47.4571084,-98.88279923,1,0,0,1,2020-04-27 2:30:52
,Moldova,47.4116,28.3699,3408,96,895,2417,2020-04-27 2:30:33
North Dakota,US,47.35423935,-102.6160468,10,0,0,10,2020-04-27 2:30:52
Washington,US,47.35007586,-123.1863685,22,1,0,21,2020-04-26 0:00:00
Minnesota,US,47.32628443,-96.45620947,7,0,0,7,2020-04-27 2:30:52
Minnesota,US,47.32557075,-95.80921485,1,0,0,1,2020-04-27 2:30:52
North Dakota,US,47.31213126,-101.8318399,0,0,0,0,2020-04-27 2:30:52
Montana,US,47.30797024,-111.3467922,14,2,0,12,2020-04-27 2:30:52
Washington,US,47.20753737,-119.4500749,150,2,0,148,2020-04-26 0:00:00
,Hungary,47.1625,19.5033,2500,272,485,1743,2020-04-27 2:30:33
Washington,US,47.14003705,-123.7820567,12,0,0,12,2020-04-26 0:00:00
,Liechtenstein,47.14,9.55,82,1,55,26,2020-04-27 2:30:33
Montana,US,47.12610041,-112.394698,16,0,0,16,2020-04-27 2:30:52
Washington,US,47.12521214,-120.679439,14,0,0,14,2020-04-26 0:00:00
North Dakota,US,47.11530482,-101.3406158,1,0,0,1,2020-04-27 2:30:52
Washington,US,47.03892768,-122.1405958,1244,46,0,1198,2020-04-26 0:00:00
Montana,US,47.03728583,-113.9213508,39,1,0,38,2020-04-27 2:30:52
Washington,US,46.98299757,-118.5601734,46,0,0,46,2020-04-26 0:00:00
North Dakota,US,46.97962541,-98.95637318,4,0,0,4,2020-04-27 2:30:52
North Dakota,US,46.97847375,-100.4645214,74,0,0,74,2020-04-27 2:30:52
Minnesota,US,46.95043611,-94.32603968,5,0,0,5,2020-04-27 2:30:52
North Dakota,US,46.93579637,-98.06605978,4,0,0,4,2020-04-27 2:30:52
Minnesota,US,46.93479392,-95.67158144,2,0,0,2,2020-04-27 2:30:52
North Dakota,US,46.93201724,-97.2444719,397,10,0,387,2020-04-27 2:30:52
